MARRON
Bolsas Sin Manijas

Cantidad, Ancho, Fuelle, Largo, $ Unit,     ID_formato  
5000,     12.5,  8,      19,    $ 63.66,    1
10000,    12.5,  8,      19,    $ 61.74,    1
5000,     12.5,  8,      41,    $ 79.97,    2
10000,    12.5,  8,      41,    $ 78.68,    2
5000,     22,    10,     30,    $ 88.38,    3
10000,    22,    10,     30,    $ 81.66,    3
5000,     22,    10,     41,    $ 105.23,   4
10000,    22,    10,     41,    $ 101.86,   4
5000,     26,    12,     36,    $ 107.95,   5
10000,    26,    12,     36,    $ 104.60,   5
5000,     28,    16,     38,    $ 124.37,   6
10000,    28,    16,     38,    $ 121.57,   6
5000,     30,    12,     32,    $ 121.40,   7
10000,    30,    12,     32,    $ 115.22,   7
5000,     30,    12,     41,    $ 124.37,   8
10000,    30,    12,     41,    $ 120.48,   8


Bolsas Con Manijas

Cantidad, Ancho, Fuelle, Largo, $ Unit,     ID_formato
5000,     12.5,  8,      19,    $ 99.68,    
10000,    12.5,  8,      19,    $ 97.54,    
5000,     12.5,  8,      41,    $ 115.99,   
10000,    12.5,  8,      41,    $ 114.47,   
5000,     22,    10,     30,    $ 124.40,   
10000,    22,    10,     30,    $ 117.45,   
5000,     22,    10,     41,    $ 141.25,   
10000,    22,    10,     41,    $ 137.65,   
5000,     26,    12,     36,    $ 143.97,   
10000,    26,    12,     36,    $ 140.40,   
5000,     28,    16,     38,    $ 160.40,   
10000,    28,    16,     38,    $ 157.36,   
5000,     30,    12,     32,    $ 157.43,   
10000,    30,    12,     32,    $ 151.01,   
5000,     30,    12,     41,    $ 160.40,   
10000,    30,    12,     41,    $ 156.28,   



BLANCO
Bolsas Sin Manijas

Cantidad, Ancho, Fuelle, Largo, $ Unit,     ID_formato
5000,     12.5,  8,      19,    $ 105.89,   9
10000,    12.5,  8,      19,    $ 101.86,   9
5000,     12.5,  8,      41,    $ 140.61,   
10000,    12.5,  8,      41,    $ 136.17,   
5000,     22,    10,     30,    $ 155.22,   11
10000,    22,    10,     30,    $ 191.26,   11          , dudoso
5000,     26,    12,     36,    $       
5000,     22,    10,     41,    $ 191.26,   
10000,    22,    10,     41,    $ 188.11,   
5000,     26,    12,     36,    $ 202.66,   13 
10000,    26,    12,     36,    $ 196.34,   13
5000,     28,    16,     38,    $ 240.55,   
10000,    28,    16,     38,    $ 233.03,   
5000,     30,    12,     41,    $ 238.21,   
10000,    30,    12,     41,    $ 230.78,   


Bolsas Con Manijas

Cantidad, Ancho, Fuelle, Largo, $ Unit,     ID_formato
5000,     12.5,  8,      19,    $ 149.20,   
10000,    12.5,  8,      19,    $ 145.06,   
5000,     12.5,  8,      41,    $ 181.92,   
10000,    12.5,  8,      41,    $ 177.40,   
5000,     22,    10,     30,    $ 200.46,   
10000,    22,    10,     30,    $ 195.35,   
5000,     22,    10,     41,    $ 229.68,   
10000,    22,    10,     41,    $ 226.37,   
5000,     26,    12,     36,    $ 240.42,   
10000,    26,    12,     36,    $ 234.14,   
5000,     28,    16,     38,    $ 276.16,   
10000,    28,    16,     38,    $ 268.74,   
5000,     30,    12,     41,    $ 273.93,   
10000,    30,    12,     41,    $ 266.59,   
